Bubble Sort Results (In Seconds)
,10,100,1000,10000,25000,50000,100000
Test 1,0.00014942,0.00000042,0.00000038,0.00000083,0.00000146,0.00000096,0.00000067
Test 2,0.00000046,0.00000038,0.00000063,0.00000042,0.00000042,0.00000083,0.00000229
Test 3,0.00000092,0.00000046,0.00000038,0.00000079,0.00001017,0.00000083,0.00000167
Test 4,0.00000033,0.00000029,0.00000033,0.00000033,0.00000038,0.00000058,0.00000167
Test 5,0.00000033,0.00000033,0.00000029,0.00000038,0.00000029,0.00000038,0.00000071
Test 6,0.00000033,0.00000025,0.00000025,0.00000033,0.00000029,0.00000167,0.00000038
Test 7,0.00000054,0.00000025,0.00000029,0.00000029,0.00000292,0.00000004,0.00000004
Test 8,0.00000004,0.00000013,0.00000029,0.00000004,0.00000008,0.00000004,0.00000008
Test 9,0.00000004,0.00000004,0.00000004,0.00000004,0.00000004,0.00000004,0.00000017
Test 10,0.00000008,0.00000004,0.00000000,0.00000004,0.00000008,0.00000025,0.00000025
Averages,0.00001525,0.00000026,0.00000029,0.00000035,0.00000161,0.00000056,0.00000079

Selection Sort Results (In Seconds)
,10,100,1000,10000,25000,50000,100000
Test 1,0.00000258,0.00000050,0.00000042,0.00000046,0.00000046,0.00000038,0.00000042
Test 2,0.00000033,0.00000058,0.00000050,0.00000038,0.00000033,0.00000329,0.00000050
Test 3,0.00000038,0.00000042,0.00000050,0.00000075,0.00000038,0.00000029,0.00000042
Test 4,0.00000033,0.00000029,0.00000029,0.00000029,0.00000029,0.00000042,0.00000046
Test 5,0.00000025,0.00000033,0.00000038,0.00000042,0.00000033,0.00000029,0.00000025
Test 6,0.00000021,0.00000025,0.00000025,0.00000025,0.00000021,0.00000046,0.00000025
Test 7,0.00000029,0.00000021,0.00000021,0.00000025,0.00000267,0.00000004,0.00000013
Test 8,0.00000004,0.00000004,0.00000000,0.00000017,0.00000004,0.00000004,0.00000004
Test 9,0.00000004,0.00000004,0.00000004,0.00000004,0.00000000,0.00000004,0.00000025
Test 10,0.00000000,0.00000000,0.00000000,0.00000004,0.00000046,0.00000058,0.00000008
Averages,0.00000045,0.00000027,0.00000026,0.00000030,0.00000052,0.00000058,0.00000028

Insertion Sort Results (In Seconds)
,10,100,1000,10000,25000,50000,100000
Test 1,0.00000150,0.00000042,0.00000042,0.00000038,0.00000042,0.00000042,0.00000042
Test 2,0.00000050,0.00000042,0.00000038,0.00000067,0.00000038,0.00000058,0.00000050
Test 3,0.00000042,0.00000046,0.00000046,0.00000038,0.00000158,0.00000033,0.00000033
Test 4,0.00000029,0.00000033,0.00000029,0.00000029,0.00000025,0.00000029,0.00000038
Test 5,0.00000029,0.00000188,0.00000025,0.00000033,0.00000038,0.00000029,0.00000029
Test 6,0.00000025,0.00000025,0.00000025,0.00000025,0.00000025,0.00000029,0.00000025
Test 7,0.00000038,0.00000025,0.00000021,0.00000021,0.00000242,0.00000079,0.00000004
Test 8,0.00000000,0.00000004,0.00000004,0.00000004,0.00000008,0.00000004,0.00000004
Test 9,0.00000004,0.00000004,0.00000000,0.00000004,0.00000004,0.00000004,0.00000121
Test 10,0.00000004,0.00000004,0.00000000,0.00000004,0.00000004,0.00000021,0.00000000
Averages,0.00000037,0.00000041,0.00000023,0.00000026,0.00000058,0.00000033,0.00000035

Shell Sort Results (In Seconds)
,10,100,1000,10000,25000,50000,100000
Test 1,0.00000221,0.00000046,0.00000042,0.00000046,0.00000042,0.00000038,0.00000038
Test 2,0.00000042,0.00000042,0.00000042,0.00000042,0.00000038,0.00000038,0.00000033
Test 3,0.00000042,0.00000033,0.00000042,0.00000042,0.00000054,0.00000033,0.00000033
Test 4,0.00000029,0.00000029,0.00000021,0.00000025,0.00000038,0.00000646,0.00000033
Test 5,0.00000029,0.00000063,0.00000025,0.00000025,0.00000071,0.00000025,0.00000029
Test 6,0.00000021,0.00000025,0.00000017,0.00000025,0.00000021,0.00000029,0.00000058
Test 7,0.00000033,0.00000025,0.00000025,0.00000021,0.00000254,0.00000008,0.00000008
